Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,7.75,-0.100425734556956,-0.100425734556956
2024-10-01,10.75,0.45794134957972005,0.45794134957972005
2024-10-02,9.0,0.13222721716665903,0.13222721716665903
2024-10-03,8.25,-0.007364553867509988,-0.007364553867509988
2024-10-06,3.25,-0.9379763607619701,-0.9379763607619701
2024-10-07,7.25,-0.193486915246402,-0.193486915246402
2024-10-08,6.75,-0.286548095935848,-0.286548095935848
2024-10-09,8.0,-0.053895144212232994,-0.053895144212232994
2024-10-13,1.5,-1.263690493175031,-1.263690493175031
2024-10-14,6.75,-0.286548095935848,-0.286548095935848
2024-10-16,4.5,-0.705323409038355,-0.705323409038355
2024-10-17,7.5,-0.146956324901679,-0.146956324901679
2024-10-18,5.5,-0.5192010476594631,-0.5192010476594631
2024-10-20,2.0,-1.170629312485585,-1.170629312485585
2024-10-21,14.0,1.0628390240611192,1.0628390240611192
2024-10-22,7.0,-0.240017505591125,-0.240017505591125
2024-10-23,4.75,-0.658792818693632,-0.658792818693632
2024-10-24,5.0,-0.6122622283489091,-0.6122622283489091
2024-10-27,6.0,-0.42613986697001704,-0.42613986697001704
2024-10-28,7.5,-0.146956324901679,-0.146956324901679
2024-10-29,10.75,0.45794134957972005,0.45794134957972005
2024-11-03,3.75,-0.8449151800725241,-0.8449151800725241
2024-11-04,7.25,-0.193486915246402,-0.193486915246402
2024-11-05,23.25,2.7844708668158704,2.7844708668158704
2024-11-06,10.75,0.45794134957972005,0.45794134957972005
2024-11-07,15.5,1.3420225661294571,1.3420225661294571
2024-11-10,3.75,-0.8449151800725241,-0.8449151800725241
2024-11-11,6.25,-0.37960927662529403,-0.37960927662529403
2024-11-15,12.75,0.8301860723375041,0.8301860723375041
2024-11-17,2.5,-1.077568131796139,-1.077568131796139
2024-11-18,9.25,0.17875780751138204,0.17875780751138204
2024-11-19,8.0,-0.053895144212232994,-0.053895144212232994
2024-11-20,5.25,-0.565731638004186,-0.565731638004186
2024-11-21,7.0,-0.240017505591125,-0.240017505591125
2024-11-24,3.75,-0.8449151800725241,-0.8449151800725241
2024-11-25,11.5,0.5975331206138891,0.5975331206138891
2024-11-26,5.5,-0.5192010476594631,-0.5192010476594631
2024-11-28,5.75,-0.47267045731474006,-0.47267045731474006
2024-11-29,5.75,-0.47267045731474006,-0.47267045731474006
2024-12-01,4.5,-0.705323409038355,-0.705323409038355
2024-12-02,9.5,0.22528839785610502,0.22528839785610502
2024-12-03,10.0,0.318349578545551,0.318349578545551
2024-12-04,9.5,0.22528839785610502,0.22528839785610502
2024-12-05,8.25,-0.007364553867509988,-0.007364553867509988
2024-12-08,4.0,-0.798384589727801,-0.798384589727801
2024-12-10,9.5,0.22528839785610502,0.22528839785610502
2024-12-13,10.0,0.318349578545551,0.318349578545551
2024-12-15,1.75,-1.2171599028303082,-1.2171599028303082
