Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.4379724114095213,-0.4379724114095213
2024-10-16,2.375,-0.29124493876432783,-0.29124493876432783
2024-10-17,1.125,-1.024882301990295,-1.024882301990295
2024-10-18,1.625,-0.7314273566999082,-0.7314273566999082
2024-10-21,4.0,0.6624836334294296,0.6624836334294296
2024-10-22,1.25,-0.9515185656676984,-0.9515185656676984
2024-10-23,1.25,-0.9515185656676984,-0.9515185656676984
2024-10-24,2.375,-0.29124493876432783,-0.29124493876432783
2024-10-28,2.875,0.002210006526059074,0.002210006526059074
2024-10-29,2.875,0.002210006526059074,0.002210006526059074
2024-11-04,2.5,-0.21788120244173112,-0.21788120244173112
2024-11-05,2.25,-0.36460867508692457,-0.36460867508692457
2024-11-06,5.625,1.6162122056231871,1.6162122056231871
2024-11-07,3.375,0.295664951816446,0.295664951816446
2024-11-11,2.375,-0.29124493876432783,-0.29124493876432783
2024-11-15,3.375,0.295664951816446,0.295664951816446
2024-11-18,2.625,-0.14451746611913438,-0.14451746611913438
2024-11-19,5.0,1.2493935240102034,1.2493935240102034
2024-11-20,2.25,-0.36460867508692457,-0.36460867508692457
2024-11-21,2.375,-0.29124493876432783,-0.29124493876432783
2024-11-25,2.625,-0.14451746611913438,-0.14451746611913438
2024-11-26,1.625,-0.7314273566999082,-0.7314273566999082
2024-11-28,1.25,-0.9515185656676984,-0.9515185656676984
2024-11-29,1.5,-0.804791093022505,-0.804791093022505
2024-12-02,4.875,1.1760297876876067,1.1760297876876067
2024-12-03,4.5,0.9559385787198166,0.9559385787198166
2024-12-04,2.125,-0.4379724114095213,-0.4379724114095213
2024-12-05,4.25,0.8092111060746231,0.8092111060746231
2024-12-10,3.0,0.0755737428486558,0.0755737428486558
2024-12-13,2.375,-0.29124493876432783,-0.29124493876432783
2024-12-16,1.375,-0.8781548293451017,-0.8781548293451017
2024-12-17,2.875,0.002210006526059074,0.002210006526059074
2024-12-18,1.875,-0.5846998840547147,-0.5846998840547147
2024-12-23,1.625,-0.7314273566999082,-0.7314273566999082
2024-12-26,0.875,-1.1716097746354885,-1.1716097746354885
2024-12-27,2.25,-0.36460867508692457,-0.36460867508692457
2024-12-30,2.25,-0.36460867508692457,-0.36460867508692457
2024-12-31,1.5,-0.804791093022505,-0.804791093022505
2025-01-02,3.875,0.5891198971068329,0.5891198971068329
2025-01-03,1.5,-0.804791093022505,-0.804791093022505
2025-01-06,3.5,0.3690286881390427,0.3690286881390427
2025-01-07,2.0059814453127274,-0.5078255783181104,-0.5078255783181104
2025-01-08,2.5,-0.21788120244173112,-0.21788120244173112
2025-01-09,2.125,-0.4379724114095213,-0.4379724114095213
2025-01-16,1.625,-0.7314273566999082,-0.7314273566999082
2025-01-17,1.625,-0.7314273566999082,-0.7314273566999082
2025-01-20,1.625,-0.7314273566999082,-0.7314273566999082
2025-01-21,4.25,0.8092111060746231,0.8092111060746231
2025-01-22,2.0,-0.511336147732118,-0.511336147732118
2025-01-23,2.375,-0.29124493876432783,-0.29124493876432783
2025-01-27,7.0,2.423213305171751,2.423213305171751
2025-01-28,2.0,-0.511336147732118,-0.511336147732118
2025-01-29,1.5,-0.804791093022505,-0.804791093022505
2025-02-03,3.25,0.22230121549384926,0.22230121549384926
2025-02-04,2.625,-0.14451746611913438,-0.14451746611913438
2025-02-05,2.75,-0.07115372979653765,-0.07115372979653765
2025-02-06,1.875,-0.5846998840547147,-0.5846998840547147
2025-02-11,1.75,-0.6580636203773115,-0.6580636203773115
2025-02-14,1.75,-0.6580636203773115,-0.6580636203773115
2025-02-17,1.375,-0.8781548293451017,-0.8781548293451017
2025-02-18,1.0,-1.0982460383128918,-1.0982460383128918
2025-02-19,1.125,-1.024882301990295,-1.024882301990295
2025-02-20,1.375,-0.8781548293451017,-0.8781548293451017
2025-02-24,1.5,-0.804791093022505,-0.804791093022505
2025-02-25,3.5,0.3690286881390427,0.3690286881390427
2025-02-26,4.5,0.9559385787198166,0.9559385787198166
2025-03-03,5.5,1.5428484693005904,1.5428484693005904
2025-03-04,6.625,2.203122096203961,2.203122096203961
2025-03-05,6.0,1.8363034145909773,1.8363034145909773
2025-03-06,5.5,1.5428484693005904,1.5428484693005904
2025-03-11,6.75,2.2764858325265576,2.2764858325265576
2025-03-17,3.75,0.5157561607842361,0.5157561607842361
2025-03-18,2.0,-0.511336147732118,-0.511336147732118
2025-03-19,1.75,-0.6580636203773115,-0.6580636203773115
2025-03-20,3.625,0.44239242446163946,0.44239242446163946
2025-03-21,2.75,-0.07115372979653765,-0.07115372979653765
2025-03-24,1.375,-0.8781548293451017,-0.8781548293451017
2025-03-25,2.75,-0.07115372979653765,-0.07115372979653765
2025-03-26,2.0,-0.511336147732118,-0.511336147732118
2025-03-31,1.875,-0.5846998840547147,-0.5846998840547147
2025-04-01,2.75,-0.07115372979653765,-0.07115372979653765
2025-04-02,4.25,0.8092111060746231,0.8092111060746231
2025-04-03,4.25,0.8092111060746231,0.8092111060746231
2025-04-07,11.625,5.1376715491078295,5.1376715491078295
