Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.7872671586846013,-0.7872671586846013
2024-10-16,0.6875007999999525,-0.6689044829257667,-0.6689044829257667
2024-10-17,0.6874992000000475,-0.6689054929495638,-0.6689054929495638
2024-10-18,0.5624992000000475,-0.7478136067808544,-0.7478136067808544
2024-10-21,1.25,-0.3138184756968572,-0.3138184756968572
2024-10-22,1.125,-0.3927265895281479,-0.3927265895281479
2024-10-23,0.75,-0.6294509310220199,-0.6294509310220199
2024-10-24,1.0625007999999525,-0.4321801414318947,-0.4321801414318947
2024-10-28,1.5,-0.15600224803427587,-0.15600224803427587
2024-10-29,1.25,-0.3138184756968572,-0.3138184756968572
2024-11-04,1.8124992000000475,0.04126753153205227,0.04126753153205227
2024-11-05,1.1874992000000475,-0.3532730376244011,-0.3532730376244011
2024-11-06,1.25,-0.3138184756968572,-0.3138184756968572
2024-11-07,2.125,0.2385383211221775,0.2385383211221775
2024-11-11,0.5,-0.7872671586846013,-0.7872671586846013
2024-11-15,2.625,0.5541707764473401,0.5541707764473401
2024-11-18,1.125,-0.3927265895281479,-0.3927265895281479
2024-11-19,0.75,-0.6294509310220199,-0.6294509310220199
2024-11-20,0.875,-0.5505428171907293,-0.5505428171907293
2024-11-21,1.8125007999999525,0.04126854155584935,0.04126854155584935
2024-11-25,1.25,-0.3138184756968572,-0.3138184756968572
2024-11-26,1.4375007999999525,-0.19545579993802267,-0.19545579993802267
2024-11-28,0.25,-0.9450833863471826,-0.9450833863471826
2024-11-29,4.1875,1.5405221993384737,1.5405221993384737
2024-12-02,4.375,1.6588843700854097,1.6588843700854097
2024-12-03,1.5,-0.15600224803427587,-0.15600224803427587
2024-12-04,1.8125,0.041268036543950816,0.041268036543950816
2024-12-05,3.0625,0.8303491748568576,0.8303491748568576
2024-12-10,1.25,-0.3138184756968572,-0.3138184756968572
2024-12-13,0.875,-0.5505428171907293,-0.5505428171907293
2024-12-16,1.1875,-0.3532725326125025,-0.3532725326125025
2024-12-17,0.4375,-0.8267212156002466,-0.8267212156002466
2024-12-18,4.8125,1.9350627684949269,1.9350627684949269
2024-12-23,0.625,-0.7083590448533106,-0.7083590448533106
2024-12-24,1.0,-0.4716347033594386,-0.4716347033594386
2024-12-26,1.25,-0.3138184756968572,-0.3138184756968572
2024-12-27,0.75,-0.6294509310220199,-0.6294509310220199
2024-12-30,0.5625,-0.7478131017689559,-0.7478131017689559
2024-12-31,1.5,-0.15600224803427587,-0.15600224803427587
2025-01-02,1.6875,-0.03764007728733986,-0.03764007728733986
2025-01-03,1.25,-0.3138184756968572,-0.3138184756968572
2025-01-06,1.0,-0.4716347033594386,-0.4716347033594386
2025-01-07,1.0625,-0.4321806464437932,-0.4321806464437932
2025-01-08,0.9375,-0.5110887602750839,-0.5110887602750839
2025-01-09,0.4375,-0.8267212156002466,-0.8267212156002466
2025-01-16,2.375,0.39635454878475884,0.39635454878475884
2025-01-17,1.0625,-0.4321806464437932,-0.4321806464437932
2025-01-20,0.5,-0.7872671586846013,-0.7872671586846013
2025-01-21,0.8125,-0.5899968741063746,-0.5899968741063746
2025-01-22,1.0625,-0.4321806464437932,-0.4321806464437932
2025-01-23,1.0,-0.4716347033594386,-0.4716347033594386
2025-01-27,1.3125,-0.27436441878121187,-0.27436441878121187
2025-01-28,0.75,-0.6294509310220199,-0.6294509310220199
2025-01-29,2.0,0.1596302072908868,0.1596302072908868
2025-02-03,1.5,-0.15600224803427587,-0.15600224803427587
2025-02-04,0.5,-0.7872671586846013,-0.7872671586846013
2025-02-05,0.375,-0.8661752725158919,-0.8661752725158919
2025-02-06,0.5625,-0.7478131017689559,-0.7478131017689559
2025-02-11,0.5625,-0.7478131017689559,-0.7478131017689559
2025-02-14,0.625,-0.7083590448533106,-0.7083590448533106
2025-02-17,0.1875,-0.9845374432628279,-0.9845374432628279
2025-02-18,0.75,-0.6294509310220199,-0.6294509310220199
2025-02-19,0.625,-0.7083590448533106,-0.7083590448533106
2025-02-20,0.5625,-0.7478131017689559,-0.7478131017689559
2025-02-24,1.0625,-0.4321806464437932,-0.4321806464437932
2025-02-25,1.125,-0.3927265895281479,-0.3927265895281479
2025-02-26,5.75,2.5268736222296067,2.5268736222296067
2025-03-03,5.4375,2.3296033376513803,2.3296033376513803
2025-03-04,6.6875,3.1186844759642867,3.1186844759642867
2025-03-05,5.4375,2.3296033376513803,2.3296033376513803
2025-03-06,5.0625,2.0928789961575083,2.0928789961575083
2025-03-11,5.25,2.2112411669044443,2.2112411669044443
2025-03-17,1.6875,-0.03764007728733986,-0.03764007728733986
2025-03-18,2.625,0.5541707764473401,0.5541707764473401
2025-03-19,4.5625,1.7772465408323457,1.7772465408323457
2025-03-20,1.0625,-0.4321806464437932,-0.4321806464437932
2025-03-21,1.1875,-0.3532725326125025,-0.3532725326125025
2025-03-24,0.75,-0.6294509310220199,-0.6294509310220199
2025-03-25,0.8125,-0.5899968741063746,-0.5899968741063746
2025-03-26,0.9375,-0.5110887602750839,-0.5110887602750839
2025-03-31,2.875,0.7119870041099216,0.7119870041099216
2025-04-01,1.0625,-0.4321806464437932,-0.4321806464437932
2025-04-02,2.1875,0.27799237803782284,0.27799237803782284
2025-04-03,1.75,0.001813979628305478,0.001813979628305478
2025-04-07,4.125,1.5010681424228283,1.5010681424228283
2025-04-08,4.625,1.8167005977479909,1.8167005977479909
2025-04-09,6.875,3.2370466467112227,3.2370466467112227
