"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,69.0,70.0,70.0,64.0,76.0,90.0
mean,1.2246376811594204,1.644642857142857,1.6214285714285714,0.564453125,0.8453947368421053,2.172222222222222
std,1.0111010011080015,1.60115386867725,1.6606282953760985,0.4645104242918491,0.9460154202964117,2.1831982403812975
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.17500000000000004,0.18125000000000002,0.0,0.125,0.125,0.125
25%,0.5,0.53125,0.375,0.125,0.34375,0.625
50%,1.125,1.3125,1.25,0.5,0.6875,1.625
68%,1.3100000000000005,1.75,1.9900000000000002,0.625,0.875,2.5
90%,2.1500000000000004,3.5125,3.75,1.25,1.625,4.512500000000001
95%,2.799999999999997,4.56875,4.343749999999998,1.3562499999999993,1.78125,7.299999999999997
99%,4.674999999999983,7.560000000000002,6.9337500000000105,1.8562499999999984,3.84375,8.761249999999999
99.7%,5.865000000000016,8.043000000000006,9.16762500000003,2.131875,6.403125000000028,10.24087500000001
max,6.375,8.25,10.125,2.25,7.5,10.875
