"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,363.0,364.0,366.0,354.0,439.0,480.0
mean,2.1790633608815426,2.6517857142857144,2.351775956284153,1.1349376958642308,1.470387243735763,4.280220794677734
std,1.890373170168696,2.1699020171133285,2.191450602100744,1.2780418228381842,1.4389121288459914,3.8073759126226503
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,1.75,0.75,1.25,3.25
68%,2.5,3.0,2.75,1.25,1.75,5.25
90%,4.25,5.5,5.0,2.25,3.0,9.775000000000006
95%,5.25,6.9624999999999915,6.25,3.0874999999999915,3.7749999999999915,11.75
99%,10.284999999999997,9.805000000000007,9.425000000000011,7.087499999999963,6.8700000000000045,16.10499999999999
99.7%,11.706999999999994,11.0,11.42874999999998,8.95574999999998,10.886499999999941,19.40749999999997
max,13.5,12.0,19.75,9.75,13.75,24.75
