"(Vol Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,66.0,66.0,66.0,60.0,77.0,88.0
mean,1.0085448733901543,1.087121236363635,1.231060606060606,0.5562499333333373,0.7451297766233822,1.7563920181818198
std,0.7439472684744313,0.793519393893432,0.9041151812052811,0.5152211652801926,0.6868092896941772,1.0511368090967916
min,0.3124992000000475,0.25,0.1875,0.1875,0.3125,0.375
5%,0.328125,0.3124994000000356,0.4375,0.25,0.375,0.45937500000000003
25%,0.625,0.6875,0.6406248000000119,0.375,0.4375,1.0
50%,0.8124992000000475,0.9062496000000237,1.0625,0.4374992000000475,0.5624992000000475,1.59375
68%,0.9500000000000002,1.1874992000000475,1.25,0.5,0.6875,2.0
90%,1.7500003999999763,1.84375,2.0625,0.8249992000000477,1.0250000000000004,2.906249999999999
95%,2.5,2.5000007999999525,2.953125,1.0093749999999995,1.262500000000001,4.118749999999997
99%,3.924999999999997,4.2781249999999975,4.5281249999999975,2.9724999999999966,3.9499998080000096,4.823124999999997
99.7%,4.152500000000003,4.477187500000003,4.727187500000003,3.3855000000000004,4.116249382400039,5.165687500000002
max,4.25,4.5625,4.8125,3.5625,4.1874992000000475,5.3125
